Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59366234,Maps of Our Spectacular Bodies,Maddie Mortimer,"Mortimer, Maddie",,"=""198218177X""","=""9781982181772""",0,3.96,Scribner,Paperback,448,2022,2022,,2022/08/10,to-read,to-read (#155),to-read,,,,0,0
25848382,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""1846685826""","=""9781846685828""",0,4.49,Profile Books,Paperback,282,2015,2014,,2022/08/04,to-read,to-read (#154),to-read,,,,0,0
43868109,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385545681""","=""9780385545686""",0,4.54,Doubleday,Hardcover,535,2021,2021,,2022/08/02,to-read,to-read (#153),to-read,,,,0,0
65253,A Journey to the End of the Millennium,A.B. Yehoshua,"Yehoshua, A.B.","André Bernard, Nicholas de Lange","=""0156011166""","=""9780156011167""",0,3.77,HarperVia,Paperback,352,2000,1996,,2022/07/10,to-read,to-read (#152),to-read,,,,0,0
10252302,Blue Nights,Joan Didion,"Didion, Joan",,"=""0307267679""","=""9780307267672""",0,3.94,Knopf,Hardcover,208,2011,2011,,2022/07/10,to-read,to-read (#151),to-read,,,,0,0
96123,All the President’s Men,Carl Bernstein,"Bernstein, Carl",Bob Woodward,"=""1416522913""","=""9781416522911""",0,4.18,Pocket Books,Mass Market Paperback,480,2005,1974,,2022/06/17,to-read,to-read (#150),to-read,,,,0,0
42389,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,"Ambrose, Stephen E.",,"=""0743464117""","=""9780743464116""",0,4.44,Simon & Schuster; Media Tie-In edition,Paperback,432,2002,1992,,2022/05/28,to-read,to-read (#149),to-read,,,,0,0
11717571,The Patrick Melrose Novels,Edward St. Aubyn,"Aubyn, Edward St.",,"=""0312429967""","=""9780312429966""",0,4.06,Picador,Paperback,680,2012,2012,,2022/05/26,to-read,to-read (#148),to-read,,,,0,0
18582850,The Nazi and the Barber,Edgar Hilsenrath,"Hilsenrath, Edgar",Andrew White,"=""3981609204""","=""9783981609202""",0,3.99,Barber Press,Hardcover,412,2013,1971,,2022/05/23,to-read,to-read (#147),to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2022/05/23,to-read,to-read (#146),to-read,,,,0,0
53091994,Black Buck,Mateo Askaripour,"Askaripour, Mateo",,"=""""","=""""",0,3.70,Houghton Mifflin Harcourt,Hardcover,388,2021,2021,,2022/05/23,to-read,to-read (#145),to-read,,,,0,0
28881,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,"Moore, Christopher",,"=""0380813815""","=""9780380813810""",0,4.23,Harper Perennial,Paperback,444,2004,2002,,2022/05/19,to-read,to-read (#144),to-read,,,,0,0
37941619,Berlin,Jason Lutes,"Lutes, Jason",,"=""1770463267""","=""9781770463264""",4,4.45,Drawn and Quarterly,Hardcover,580,2018,2018,2022/05/19,2021/04/05,,,read,,,,1,0
6801529,The Gonzo Papers Anthology (The Gonzo Papers #1-3),Hunter S. Thompson,"Thompson, Hunter S.",,"=""1447200527""","=""9781447200529""",0,4.30,Picador,Paperback,1238,2009,2007,,2022/05/03,to-read,to-read (#143),to-read,,,,0,0
7748,Fear and Loathing: On the Campaign Trail '72,Hunter S. Thompson,"Thompson, Hunter S.",,"=""0446698229""","=""9780446698221""",0,4.13,Grand Central Publishing,Paperback,481,2006,1973,,2022/05/03,to-read,to-read (#142),to-read,,,,0,0
10882,Hell's Angels,Hunter S. Thompson,"Thompson, Hunter S.",Sylvie Durastanti,"=""222109073X""","=""9782221090732""",0,3.98,Robert Laffont,Paperback,295,2000,1966,,2022/05/03,to-read,to-read (#141),to-read,,,,0,0
18864,The Rum Diary,Hunter S. Thompson,"Thompson, Hunter S.",,"=""0684856476""","=""9780684856476""",0,3.85,Scribner / Simon & Schuster,Paperback,224,1999,1998,,2022/05/03,,,read,,,,1,0
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",0,4.07,Vintage Books,Paperback,204,1998,1971,,2022/05/03,to-read,to-read (#140),to-read,,,,0,0
7752,"Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist - The Gonzo Letters, Volume II, 1968-1976",Hunter S. Thompson,"Thompson, Hunter S.","Douglas Brinkley, David Halberstam","=""0684873168""","=""9780684873169""",0,4.09,Simon & Schuster,Paperback,784,2001,2000,,2022/05/03,to-read,to-read (#139),to-read,,,,0,0
34272476,Devotions: The Selected Poems of Mary Oliver,Mary Oliver,"Oliver, Mary",,"=""0399563245""","=""9780399563249""",0,4.57,Penguin Press,Hardcover,456,2017,2017,,2022/05/01,to-read,to-read (#138),to-read,,,,0,0
13257044,The Second World War,Antony Beevor,"Beevor, Antony",,"=""0297844970""","=""9780297844976""",0,4.39,Weidenfeld & Nicolson,Hardcover,863,2012,2012,,2022/04/28,to-read,to-read (#137),to-read,,,,0,0
58132545,The Naked Don't Fear the Water: An Underground Journey with Afghan Refugees,Matthieu Aikins,"Aikins, Matthieu",,"=""0063058588""","=""9780063058583""",0,4.18,Harper,Hardcover,336,2022,2022,,2022/04/05,to-read,to-read (#136),to-read,,,,0,0
58276619,The Books of Jacob,Olga Tokarczuk,"Tokarczuk, Olga",Jennifer  Croft,"=""""","=""""",0,4.02,Riverhead Books,Hardcover,965,2022,2014,,2022/04/05,to-read,to-read (#135),to-read,,,,0,0
34818440,The Line Becomes a River: Dispatches From the Border,Francisco Cantú,"Cantú, Francisco",,"=""""","=""""",0,3.97,Riverhead Books,Hardcover,250,2018,2018,,2022/04/05,to-read,to-read (#134),to-read,,,,0,0
52741293,Shuggie Bain,Douglas   Stuart,"Stuart, Douglas",,"=""0802148042""","=""9780802148049""",0,4.30,Grove Press,Hardcover,430,2020,2020,,2022/03/29,to-read,to-read (#133),to-read,,,,0,0
7815,The Year of Magical Thinking,Joan Didion,"Didion, Joan",,"=""1400078431""","=""9781400078431""",0,3.93,Vintage,Paperback,227,2007,2005,,2022/03/08,to-read,to-read (#132),to-read,,,,0,0
5367,"The Great Book of Amber (The Chronicles of Amber, #1-10)",Roger Zelazny,"Zelazny, Roger",,"=""0380809060""","=""9780380809066""",0,4.31,Avon-Eos,Paperback,1258,1999,1999,,2022/01/20,to-read,to-read (#131),to-read,,,,0,0
59614915,Le lac de nulle part,Pete Fromm,"Fromm, Pete",,"=""2351782852""","=""9782351782859""",0,3.87,Gallmeister,Paperback,448,2022,,,2022/01/06,to-read,to-read (#130),to-read,,,,0,0
156956,Indian Creek Chronicles: A Winter Alone in the Wilderness,Pete Fromm,"Fromm, Pete",,"=""0312422725""","=""9780312422721""",0,4.23,Picador,Paperback,208,2003,1993,,2022/01/06,to-read,to-read (#129),to-read,,,,0,0
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",0,4.31,Vintage Books,Paperback,721,2007,2005,,2022/01/06,to-read,to-read (#128),to-read,,,,0,0
43726511,The Shadow King,Maaza Mengiste,"Mengiste, Maaza",,"=""039308356X""","=""9780393083569""",0,3.66,W. W. Norton & Company,Hardcover,448,2019,2019,,2022/01/06,to-read,to-read (#127),to-read,,,,0,0
